Id,listing_id,listing_date,is_renovated,amenity_score,OverallQual,OverallCond,GrLivArea,TotalBsmtSF,LotArea,property_age,years_since_remodel,total_baths,GarageCars,Fireplaces,dist_school_km,dist_hospital_km,dist_transit_km,renovation_cost_usd,local_interest_rate_pct,listing_month,Neighborhood,BldgType,HouseStyle,ExterQual,KitchenQual,CentralAir,sale_price,is_monitoring_stream
142,L-000142,2006-01-04,0,0.5094109387304935,7,5,1734,1734,11645,1,1,3.0,2,0,2.18,4.53,1.87,0.0,6.26,1,CollgCr,1Fam,1Story,Gd,Gd,Y,259700,0
811,L-000811,2006-01-09,1,0.7004257140146507,6,6,1309,1040,10140,32,7,2.5,2,1,1.15,4.62,1.05,44600.0,6.26,1,NWAmes,1Fam,1Story,TA,Gd,Y,176700,0
1405,L-001405,2006-01-10,1,0.3920856174572614,3,4,1214,672,10410,91,56,1.0,3,0,3.08,9.02,2.09,16800.0,6.26,1,OldTown,1Fam,1.5Fin,TA,TA,Y,106300,0
303,L-000303,2006-01-13,1,0.5441227188163347,7,5,1541,1541,13704,5,4,2.0,3,1,2.0,3.21,2.26,39000.0,6.26,1,CollgCr,1Fam,1Story,Gd,Gd,Y,199000,0
371,L-000371,2006-01-14,0,0.6087069931538375,6,5,1664,953,8121,6,6,2.5,2,1,1.34,6.16,1.69,0.0,6.26,1,Gilbert,1Fam,2Story,TA,TA,Y,171700,0
412,L-000412,2006-01-16,0,0.5731179362979215,5,5,1056,1056,34650,51,51,2.0,2,0,1.32,7.38,2.64,0.0,6.26,1,Gilbert,2fmCon,1Story,TA,TA,N,140900,0
997,L-000997,2006-01-19,0,0.5568619966811111,5,6,1050,1050,10659,45,45,2.0,1,0,2.22,6.16,0.7,0.0,6.26,1,NAmes,1Fam,1Story,TA,TA,Y,132400,0
665,L-000665,2006-01-20,1,0.903962703962704,8,5,2097,2077,20896,1,0,2.5,3,1,0.56,2.25,1.75,50800.0,6.26,1,Somerst,1Fam,1Story,Gd,Ex,Y,415300,0
1041,L-001041,2006-01-21,1,0.45217748319454376,5,4,1803,1134,13125,49,6,3.0,2,1,3.18,5.06,1.3,59100.0,6.26,1,Sawyer,1Fam,1Story,TA,TA,Y,151900,0
170,L-000170,2006-01-26,0,0.7367176560724947,8,6,1707,1686,16669,25,25,2.5,2,1,1.0,2.41,2.33,0.0,6.26,1,Timber,1Fam,1Story,Gd,TA,Y,233200,0
546,L-000546,2006-02-02,0,0.6334522244186852,7,5,2183,1204,13837,18,18,2.5,3,0,1.33,4.9,1.51,0.0,6.23,2,NWAmes,1Fam,1.5Fin,Gd,Gd,Y,233000,0
1034,L-001034,2006-02-06,0,0.6060207611053565,7,5,1654,1654,8125,4,4,3.0,3,0,1.51,3.11,2.49,0.0,6.23,2,CollgCr,1Fam,1Story,Gd,Gd,Y,224600,0
4,L-000004,2006-02-07,1,0.6748622396562995,7,5,1717,756,9550,91,36,2.0,3,1,1.49,2.01,1.8,85400.0,6.23,2,Crawfor,1Fam,2Story,TA,Gd,Y,140900,0
949,L-000949,2006-02-10,0,0.5933549686356152,7,5,1776,936,14006,4,4,2.5,2,1,1.62,3.4,2.06,0.0,6.23,2,CollgCr,1Fam,2Story,Gd,Gd,Y,192000,0
603,L-000603,2006-02-15,0,0.6178494244255281,8,5,1915,908,10041,14,14,3.5,2,1,2.16,4.74,0.4,0.0,6.23,2,SawyerW,1Fam,2Story,Gd,Gd,Y,222900,0
893,L-000893,2006-02-16,1,0.49105315348175216,6,8,1068,1059,8414,43,3,1.5,1,0,2.45,5.39,1.44,33000.0,6.23,2,Sawyer,1Fam,1Story,TA,TA,Y,153400,0
223,L-000223,2006-02-22,0,0.6904633641425281,6,6,1552,713,11475,31,31,3.5,2,1,1.27,3.93,1.02,0.0,6.23,2,NWAmes,1Fam,2Story,TA,TA,Y,181400,0
256,L-000256,2006-02-23,0,0.5772442599521395,7,5,2291,975,8738,7,7,2.5,2,1,1.54,5.48,1.82,0.0,6.23,2,Gilbert,1Fam,2Story,Gd,Gd,Y,229500,0
1168,L-001168,2006-02-24,0,0.5141896117739945,6,5,1671,959,10852,6,6,3.5,2,1,1.95,4.47,2.58,0.0,6.23,2,Gilbert,1Fam,2Story,TA,TA,Y,171000,0
1239,L-001239,2006-03-01,0,0.524875461419919,6,5,1141,1141,13072,1,1,1.5,2,0,2.93,6.1,0.5,0.0,6.33,3,SawyerW,1Fam,1Story,Gd,TA,Y,143900,0
512,L-000512,2006-03-01,1,1.2898959068470224,7,5,1368,1368,6792,1,0,2.0,2,1,0.18,0.57,1.42,46300.0,6.33,3,NridgHt,TwnhsE,1Story,Gd,Gd,Y,198800,0
884,L-000884,2006-03-02,1,0.6072678884006717,4,5,2230,795,6204,94,56,2.0,1,0,1.48,4.16,1.8,46400.0,6.33,3,SWISU,1Fam,2.5Fin,Gd,TA,N,117400,0
220,L-000220,2006-03-03,1,0.6650968882922382,7,5,1248,1248,3010,1,0,2.0,2,0,1.64,3.39,0.74,57500.0,6.33,3,Blmngtn,TwnhsE,1Story,Gd,Gd,Y,173100,0
1078,L-001078,2006-03-05,0,0.6522797946873478,5,5,1096,1096,15870,37,37,2.0,1,0,1.46,6.44,0.68,0.0,6.33,3,NAmes,1Fam,1Story,TA,TA,Y,143400,0
294,L-000294,2006-03-05,1,0.6264209546141382,7,7,2263,795,16659,29,12,3.5,2,1,1.54,5.47,0.93,50900.0,6.33,3,NWAmes,1Fam,2Story,TA,Gd,Y,246800,0
155,L-000155,2006-03-08,1,0.41742180760377967,6,5,1200,1200,11340,83,56,1.0,1,0,2.74,7.34,2.33,40100.0,6.33,3,OldTown,1Fam,1Story,TA,TA,Y,124900,0
586,L-000586,2006-03-10,1,0.7262917273261308,8,5,2028,1868,11443,1,0,3.0,3,2,1.0,3.21,1.79,93400.0,6.33,3,Timber,1Fam,1Story,Gd,Gd,Y,362500,0
1252,L-001252,2006-03-11,0,1.2787725539697248,7,5,1405,1405,3136,3,3,2.0,2,1,0.19,0.52,1.74,0.0,6.33,3,NridgHt,TwnhsE,1Story,Gd,Gd,Y,171200,0
481,L-000481,2006-03-12,1,1.2910024044775819,9,5,1850,1833,16033,2,1,3.0,3,1,0.17,0.62,1.35,78300.0,6.33,3,NridgHt,1Fam,1Story,Gd,Gd,Y,323700,0
1186,L-001186,2006-03-15,1,0.45414207099550485,5,7,1221,784,9738,82,56,2.0,1,0,3.02,5.22,1.4,41500.0,6.33,3,Edwards,1Fam,1.5Fin,TA,TA,Y,105100,0
296,L-000296,2006-03-17,0,0.573154384906672,6,6,1003,1003,7937,22,22,2.0,2,0,2.43,3.35,0.8,0.0,6.33,3,Mitchel,1Fam,SLvl,TA,TA,Y,137700,0
754,L-000754,2006-03-20,0,1.2708522899605703,8,5,2098,1030,10240,1,1,2.5,3,1,0.2,0.57,1.52,0.0,6.33,3,NridgHt,1Fam,2Story,Gd,Ex,Y,281100,0
