Id,listing_id,listing_date,dist_school_km,dist_hospital_km,dist_transit_km,renovated,renovation_cost_usd,days_on_market,local_interest_rate_pct,market_price_index,sale_price,sale_price_kaggle
142,L-000142,2006-01-04,2.18,4.53,1.87,No,,46,6.26,99.78,259700,260000
811,L-000811,2006-01-09,1.15,4.62,1.05,Yes,44600.0,38,6.26,99.78,176700,181000
1405,L-001405,2006-01-10,3.08,9.02,2.09,Yes,16800.0,23,6.26,99.78,106300,105000
303,L-000303,2006-01-13,2.0,3.21,2.26,Yes,39000.0,26,6.26,99.78,199000,205000
371,L-000371,2006-01-14,1.34,6.16,1.69,No,,15,6.26,99.78,171700,172400
412,L-000412,2006-01-16,1.32,7.38,2.64,No,,36,6.26,99.78,140900,145000
997,L-000997,2006-01-19,2.22,6.16,0.7,No,,58,6.26,99.78,132400,136500
665,L-000665,2006-01-20,0.56,2.25,1.75,Yes,50800.0,128,6.26,99.78,415300,423000
1041,L-001041,2006-01-21,3.18,5.06,1.3,Yes,59100.0,45,6.26,99.78,151900,155000
170,L-000170,2006-01-26,1.0,2.41,2.33,No,,31,6.26,99.78,233200,228000
546,L-000546,2006-02-02,1.33,4.9,1.51,No,,55,6.23,100.23,233000,229000
1034,L-001034,2006-02-06,1.51,3.11,2.49,No,,55,6.23,100.23,224600,230000
4,L-000004,2006-02-07,1.49,2.01,1.8,Yes,85400.0,26,6.23,100.23,140900,140000
949,L-000949,2006-02-10,1.62,3.4,2.06,No,,29,6.23,100.23,192000,192500
603,L-000603,2006-02-15,2.16,4.74,0.4,No,,37,6.23,100.23,222900,220000
893,L-000893,2006-02-16,2.45,5.39,1.44,Yes,33000.0,61,6.23,100.23,153400,154500
223,L-000223,2006-02-22,1.27,3.93,1.02,N,,29,6.23,100.23,181400,179900
256,L-000256,2006-02-23,1.54,5.48,1.82,No,,49,6.23,100.23,229500,230000
1168,L-001168,2006-02-24,1.95,4.47,2.58,No,,26,6.23,100.23,171000,173000
1239,L-001239,2006-03-01,2.93,6.1,0.5,No,,27,6.33,101.17,143900,142500
512,L-000512,2006-03-01,0.18,0.57,1.42,Yes,46300.0,11,6.33,101.17,198800,202665
884,L-000884,2006-03-02,1.48,4.16,1.8,Yes,46400.0,28,6.33,101.17,117400,118500
220,L-000220,2006-03-03,1.64,3.39,0.74,Yes,57500.0,23,6.33,101.17,173100,167240
1078,L-001078,2006-03-05,1.46,6.44,0.68,No,,31,6.33,101.17,143400,138800
294,L-000294,2006-03-05,1.54,5.47,0.93,Yes,50900.0,56,6.33,101.17,246800,235000
155,L-000155,2006-03-08,2.74,7.34,2.33,Yes,40100.0,38,6.33,101.17,124900,125000
586,L-000586,2006-03-10,1.0,3.21,1.79,Yes,93400.0,176,6.33,101.17,362500,369900
1252,L-001252,2006-03-11,0.19,0.52,1.74,No,,14,6.33,101.17,171200,171750
481,L-000481,2006-03-12,0.17,0.62,1.35,Yes,78300.0,20,6.33,101.17,323700,326000
1186,L-001186,2006-03-15,3.02,5.22,1.4,Yes,41500.0,28,6.33,101.17,105100,104900
296,L-000296,2006-03-17,2.43,3.35,0.8,No,,999,6.33,101.17,137700,142500
754,L-000754,2006-03-20,0.2,0.57,1.52,No,,24,6.33,101.17,281100,275500
1294,L-001294,2006-03-20,1.05,3.38,1.2,No,,15,6.33,101.17,159100,162900
1084,L-001084,2006-03-21,2.39,5.05,0.75,No,,45,6.33,101.17,161800,160000
1338,L-001338,2006-03-22,2.75,5.6,2.08,Yes,20300.0,6,6.33,101.17,51800,52500
198,L-000198,2006-03-22,2.12,4.66,0.53,Yes,161300.0,104,6.33,101.17,221400,235000
417,L-000417,2006-03-22,2.45,4.31,1.6,No,,32,6.33,101.17,148800,149500
599,L-000599,2006-03-23,1.59,2.98,1.36,No,,46,6.33,101.17,214900,217500
160,L-000160,2006-03-23,1.45,5.48,1.89,Y,71600.0,95,6.33,101.17,331400,320000
947,L-000947,2006-03-23,1.9,6.26,0.68,No,,38,6.33,101.17,142500,143000
1266,L-001266,2006-03-24,0.67,2.1,1.33,No,,21,6.33,101.17,184000,183900
1247,L-001247,2006-03-24,0.67,2.1,1.74,Yes,26400.0,19,6.33,101.17,184400,186500
82,L-000082,2006-03-25,2.06,3.56,0.81,No,,29,6.33,101.17,157200,153500
970,L-000970,2006-03-27,2.03,5.39,0.51,No,,34,6.33,101.17,139400,140000
1180,L-001180,2006-04-01,3.79,6.13,1.29,No,,26,6.36,100.67,92900,93000
328,L-000328,2006-04-05,1.69,5.54,0.75,No,,42,6.36,100.67,145700,145250
1089,L-001089,2006-04-05,2.39,6.69,1.74,No,,33,6.36,100.67,135000,137500
1304,L-001304,2006-04-05,0.85,2.05,1.25,No,,37,6.36,100.67,235200,232000
693,L-000693,2006-04-07,0.84,1.95,2620.0,Yes,91300.0,46,6.36,100.67,338100,335000
150,L-000150,2006-04-07,2.16,6.7,0.43,Yes,35000.0,26,6.36,100.67,117900,115000
146,L-000146,2006-04-08,3.59,5.32,1.76,Yes,58300.0,38,6.36,100.67,130900,130000
1181,L-001181,2006-04-08,0.81,2.36,2.28,Yes,81400.0,37,6.36,100.67,247000,250000
221,L-000221,2006-04-09,2.18,2.31,2.29,No,,35,6.36,100.67,205700,204900
1295,L-001295,2006-04-12,2.41,5.4,1.32,Yes,21200.0,29,6.36,100.67,112700,115000
1090,L-001090,2006-04-12,0.89,1.93,1.72,No,,20,6.36,100.67,193100,197000
772,L-000772,2006-04-12,3.41,6.55,1.41,No,,31,6.36,100.67,104100,102000
247,L-000247,2006-04-13,3.25,6.99,1.79,Yes,68700.0,35,6.36,100.67,141000,137000
1020,L-001020,2006-04-13,1.56,3.98,1.01,No,,26,6.36,100.67,216500,213490
243,L-000243,2006-04-14,2.99,8.08,1.47,Yes,35600.0,7,6.36,100.67,80500,79000
526,L-000526,2006-04-17,0.75,2.54,1.26,No,,32,6.36,100.67,175100,176000
1305,L-001305,2006-04-18,3.33,7.06,2.11,No,,57,6.36,100.67,129600,130000
897,L-000897,2006-04-19,3.98,7.71,2.71,Yes,16000.0,35,6.36,100.67,107800,106500
1365,L-001365,2006-04-20,0.86,2.99,1.19,No,,15,6.36,100.67,138700,144152
350,L-000350,2006-04-21,0.22,0.39,1.89,Yes,94000.0,44,6.36,100.67,436000,437154
86,L-000086,2006-04-22,0.55,1.23,1.54,Yes,62000.0,17,6.36,100.67,256000,260000
1077,L-001077,2006-04-24,3.6,6.25,2.21,Yes,50900.0,85,6.36,100.67,174600,170000
562,L-000562,2006-04-24,2.05,2.8,1.01,Yes,38800.0,46,6.36,100.67,172600,170000
976,L-000976,2006-04-25,0.81,2.28,1.42,No,,22,6.36,100.67,162100,165000
1220,L-001220,2006-04-26,,7.65,1.78,No,,23,6.36,100.67,90700,91500
394,L-000394,2006-04-26,1.68,5.39,0.4,Yes,25500.0,14,6.36,100.67,98300,100000
765,L-000765,2006-04-27,0.22,1.73,1.85,Yes,36600.0,73,6.36,100.67,266800,270000
493,L-000493,2006-05-01,1.39,6.34,2.27,No,,21,6.27,101.63,174600,172785
852,L-000852,2006-05-02,1.61,5.55,0.8,No,,38,6.27,101.63,211000,215000
714,L-000714,2006-05-02,2.13,7.86,0.5,No,,41,6.27,101.63,135500,129000
1215,L-001215,2006-05-03,2.3,4.57,0.62,No,,22,6.27,101.63,134700,134500
925,L-000925,2006-05-04,1.44,3.82,0.91,No,,34,6.27,101.63,215300,207500
578,L-000578,2006-05-04,2.42,5.61,1.39,No,,67,6.27,101.63,164000,164500
1210,L-001210,2006-05-05,0.67,2.12,1.25,No,,42,6.27,101.63,289700,290000
216,L-000216,2006-05-05,1.62,6.69,0.7,Yes,48000.0,28,6.27,101.63,134000,134450
131,L-000131,2006-05-05,2.43,4.47,0.48,No,,204,6.27,101.63,219400,226000
1208,L-001208,2006-05-06,1.54,3.31,2.62,No,,26,6.27,101.63,196200,200000
313,L-000313,2006-05-06,3.24,10.21,2.33,Yes,22100.0,30,6.27,101.63,120000,119900
701,L-000701,2006-05-07,0.9,2.05,3.43,No,,70,6.27,101.63,326200,312500
489,L-000489,2006-05-08,3.47,8.14,1.65,Yes,96400.0,49,6.27,101.63,159400,160000
1214,L-001214,2006-05-08,2.9,8.68,1.36,Yes,19200.0,28,6.27,101.63,149000,145000
387,L-000387,2006-05-10,3.94,6.22,2.5,Yes,36800.0,10,6.27,101.63,81200,81000
311,L-000311,2006-05-12,1.41,3.84,2.39,Yes,38200.0,34,6.27,101.63,163900,165600
484,L-000484,2006-05-12,2.26,3.16,0.91,No,,22,6.27,101.63,161800,164000
203,L-000203,2006-05-13,3.74,7.62,2.08,Yes,45800.0,28,6.27,101.63,114300,112000
1453,L-001453,2006-05-16,4.11,7.34,1.37,No,,89,6.27,101.63,147700,145000
61,L-000061,2006-05-18,2.99,4.56,0.52,No,,23,6.27,101.63,157300,158000
45,L-000045,2006-05-18,2.27,4.35,0.62,No,,45,6.27,101.63,144800,141000
557,L-000557,2006-05-19,2.54,6.88,0.56,No,,53,6.27,101.63,143800,141000
999,L-000999,2006-05-21,4.14,6.75,1.8,Yes,30200.0,30,6.27,101.63,88600,91000
343,L-000343,2006-05-21,1.96,5.25,0.83,Yes,26400.0,18,6.27,101.63,88100,87500
1232,L-001232,2006-05-22,1.46,6.01,0.75,No,,52,6.27,101.63,131400,132500
1030,L-001030,2006-05-22,2.85,7.42,1.95,N,,50,6.27,101.63,117500,118000
720,L-000720,2006-05-23,1.17,4.17,2.15,No,,11,6.27,101.63,129300,128500
466,L-000466,2006-05-23,1.43,4.64,1.02,No,,29,6.27,101.63,178600,178740
780,L-000780,2006-05-24,1.64,2.64,1.1,No,,26,6.27,101.63,136900,135000
1435,L-001435,2006-05-24,1.72,4.57,0.62,No,,21,6.27,101.63,157800,160000
194,L-000194,2006-05-24,3.37,4.01,1.73,No,,34,6.27,101.63,127500,130000
677,L-000677,2006-05-24,2.66,8.2,2.42,Yes,53900.0,15,6.27,101.63,88800,87000
869,L-000869,2006-05-25,1.54,4.74,1.69,Yes,60600.0,14,6.27,101.63,164700,169000
1079,L-001079,2006-05-25,1.8,3.12,2.13,No,,18,6.27,101.63,154400,155900
339,L-000339,2006-05-27,1.53,4.29,0.86,Yes,35200.0,42,6.27,101.63,203700,202500
282,L-000282,2006-05-27,0.42,1.89,1.28,No,,20,6.27,101.63,187500,185000
1147,L-001147,2006-05-27,2.67,5.74,0.52,No,,45,6.27,101.63,180400,180000
1421,L-001421,2006-05-27,1.23,3.0,1.05,No,,42,6.27,101.63,177200,179900
153,L-000153,2006-06-01,1.19,4.69,1.24,No,,25,6.32,101.03,194100,190000
601,L-000601,2006-06-01,0.27,0.59,1.56,No,,17,6.32,101.03,275300,275000
1069,L-001069,2006-06-02,3.56,5.69,1.72,No,,55,6.32,101.03,145200,151400
1347,L-001347,2006-06-02,1.85,4.63,1.21,Yes,102500.0,39,6.32,101.03,251300,262500
248,L-000248,2006-06-03,2.76,5.48,0.54,No,,37,6.32,101.03,141000,140000
185,L-000185,2006-06-03,1.84,5.21,0.73,Y,55900.0,31,6.32,101.03,125700,127000
809,L-000809,2006-06-04,2.03,4.92,0.66,No,,71,6.32,101.03,155000,159950
246,L-000246,2006-06-06,1.27,3.83,1.25,No,,57,6.32,101.03,252100,241500
1340,L-001340,2006-06-06,1.56,2.76,2.21,No,,28,6.32,101.03,127900,128500
287,L-000287,2006-06-07,1.58,4.39,0.54,Yes,40800.0,32,6.32,101.03,160800,159000
449,L-000449,2006-06-08,2.91,5.3,2.39,YES,40900.0,42,6.32,101.03,124000,119500
991,L-000991,2006-06-08,0.69,1.03,1.51,Yes,151800.0,21,6.32,101.03,351400,348000
738,L-000738,2006-06-09,2.03,4.74,2.15,No,,64,6.32,101.03,236100,239900
267,L-000267,2006-06-09,1.2,5.48,1.86,No,,21,6.32,101.03,178800,185000
1288,L-001288,2006-06-09,0.54,1.07,0.18,No,,22,6.32,101.03,191200,190000
301,L-000301,2006-06-10,1.0,3.48,1.42,No,,22,6.32,101.03,159900,157000
1245,L-001245,2006-06-11,0.96,3.06,1.13,Yes,29400.0,59,6.32,101.03,231100,230000
631,L-000631,2006-06-11,4.11,5.7,3.32,Yes,26600.0,45,6.32,101.03,122500,124000
1184,L-001184,2006-06-12,3.5,6.86,3.03,Yes,30200.0,40,6.32,101.03,119800,120000
126,L-000126,2006-06-12,4.71,5.65,1.86,Yes,23000.0,32,6.32,101.03,84400,84500
186,L-000186,2006-06-13,3.2,6.33,2.58,Yes,109400.0,199,6.32,101.03,475100,475000
900,L-000900,2006-06-13,2.92,4.3,1.02,Yes,45200.0,26,6.32,101.03,134700,135000
825,L-000825,2006-06-14,0.84,2.34,1.22,No,,33,6.32,101.03,232300,232600
360,L-000360,2006-06-15,0.38,1.01,2.04,No,,19,6.32,101.03,282700,280000
908,L-000908,2006-06-16,1.35,5.0,1.28,Yes,68100.0,74,6.32,101.03,251500,250000
