month,local_interest_rate_pct,market_price_index
2006-01,6.26,99.78
2006-02,6.23,100.23
2006-03,6.33,101.17
2006-04,6.36,100.67
2006-05,6.27,101.63
2006-06,6.32,101.03
2006-07,6.4,101.82
2006-08,6.4,102.32
2006-09,6.44,102.79
2006-10,6.43,103.16
2006-11,6.52,103.51
2006-12,6.54,103.44
2007-01,6.53,103.72
2007-02,6.6,104.51
2007-03,6.6,104.46
2007-04,6.57,104.41
2007-05,6.64,104.78
2007-06,6.61,105.18
2007-07,6.64,105.34
2007-08,6.55,104.88
2007-09,6.49,104.74
2007-10,6.42,104.02
2007-11,6.45,103.89
2007-12,6.34,103.72
2008-01,6.28,103.06
2008-02,6.24,102.99
2008-03,6.22,102.27
2008-04,6.16,102.04
2008-05,6.12,101.7
2008-06,6.07,101.08
2008-07,6.02,101.17
2008-08,5.81,100.34
2008-09,5.7,100.0
2008-10,5.57,99.67
2008-11,5.52,99.16
2008-12,5.43,98.73
2009-01,5.27,97.97
2009-02,5.13,97.35
2009-03,5.02,96.97
2009-04,5.06,95.91
2009-05,5.06,95.49
2009-06,5.04,95.04
2009-07,4.98,95.07
2009-08,5.0,95.47
2009-09,4.99,94.93
2009-10,4.98,95.03
2009-11,5.0,95.54
2009-12,4.96,94.88
2010-01,4.95,96.54
2010-02,4.9,97.24
2010-03,4.88,98.79
2010-04,4.86,99.81
2010-05,4.75,101.31
2010-06,4.77,103.01
2010-07,4.73,103.4
